food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
BASE_0001,Pizza Margherita,Western mains,58,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,18.6,14.9,22.3,Medium,0.75,100,32.0,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0002,Pizza Veg,Western mains,58,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,16.2,13.0,19.4,Medium,0.75,100,28.0,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0003,Pizza Paneer,Western mains,58,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,13.9,11.1,16.7,Medium,0.75,100,24.0,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0004,Pizza Chicken,Western mains,58,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,13.3,10.6,16.0,Medium,0.75,100,23.0,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0005,Pizza Pepperoni,Western mains,58,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,14.5,11.6,17.4,Medium,0.75,100,25.0,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0006,Calzone,Western mains,58,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,14.3,12.9,15.7,Medium,0.75,100,24.7,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0007,Pizza Pocket,Western mains,58,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,14.3,12.9,15.7,Medium,0.75,100,24.7,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0008,Burger Veg,Western mains,55,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,15.8,14.2,17.4,Medium,0.75,100,28.7,Distinct base dish; GI/GL computed from burger recipe anchor.
BASE_0009,Burger Chicken,Western mains,55,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,15.8,14.2,17.4,Medium,0.75,100,28.7,Distinct base dish; GI/GL computed from burger recipe anchor.
BASE_0010,Burger Paneer,Western mains,55,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,15.8,14.2,17.4,Medium,0.75,100,28.7,Distinct base dish; GI/GL computed from burger recipe anchor.
BASE_0011,Burger Cheese,Western mains,55,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,15.8,14.2,17.4,Medium,0.75,100,28.7,Distinct base dish; GI/GL computed from burger recipe anchor.
BASE_0012,Club Sandwich,Western mains,57,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,17.8,16.0,19.6,Medium,0.75,100,31.2,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0013,Grilled Cheese Sandwich,Western mains,57,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,17.8,16.0,19.6,Medium,0.75,100,31.2,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0014,Chicken Sandwich,Western mains,57,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,17.8,16.0,19.6,Medium,0.75,100,31.2,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0015,Veg Sandwich,Western mains,57,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,17.8,16.0,19.6,Medium,0.75,100,31.2,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0016,Wrap Veg,Western mains,56,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,14.7,13.2,16.2,Medium,0.75,100,26.2,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0017,Wrap Chicken,Western mains,56,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,14.7,13.2,16.2,Medium,0.75,100,26.2,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0018,Wrap Paneer,Western mains,56,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,14.7,13.2,16.2,Medium,0.75,100,26.2,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0019,Quesadilla Cheese,Western mains,56,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,14.7,13.2,16.2,Medium,0.75,100,26.2,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0020,Quesadilla Chicken,Western mains,56,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,14.7,13.2,16.2,Medium,0.75,100,26.2,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0021,Pasta White Sauce,Western mains,40,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,9.7,8.7,10.7,Low,0.75,100,24.2,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0022,Pasta Red Sauce,Western mains,40,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,9.7,8.7,10.7,Low,0.75,100,24.2,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0023,Pasta Pesto,Western mains,40,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,9.7,8.7,10.7,Low,0.75,100,24.2,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0024,Pasta Alfredo,Western mains,40,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,9.7,8.7,10.7,Low,0.75,100,24.2,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0025,Mac and Cheese,Western mains,40,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,9.7,8.7,10.7,Low,0.75,100,24.2,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0026,Lasagne Veg,Western mains,40,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,9.7,8.7,10.7,Low,0.75,100,24.2,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0027,Lasagne Chicken,Western mains,40,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,9.7,8.7,10.7,Low,0.75,100,24.2,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0028,Instant Noodles Veg,Western mains,45,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,8.8,7.9,9.7,Low,0.75,100,19.5,Distinct base dish; GI/GL computed from noodles recipe anchor.
BASE_0029,Instant Noodles Chicken,Western mains,45,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,8.8,7.9,9.7,Low,0.75,100,19.5,Distinct base dish; GI/GL computed from noodles recipe anchor.
BASE_0030,Ramen Veg,Western mains,45,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,8.8,7.9,9.7,Low,0.75,100,19.5,Distinct base dish; GI/GL computed from noodles recipe anchor.
BASE_0031,Ramen Chicken,Western mains,45,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,8.8,7.9,9.7,Low,0.75,100,19.5,Distinct base dish; GI/GL computed from noodles recipe anchor.
BASE_0032,Burrito Veg,Western mains,56,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,11.5,10.3,12.7,Medium,0.75,100,20.6,Distinct base dish; GI/GL computed from rice_bowl recipe anchor.
BASE_0033,Burrito Chicken,Western mains,56,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,11.5,10.3,12.7,Medium,0.75,100,20.6,Distinct base dish; GI/GL computed from rice_bowl recipe anchor.
BASE_0034,Tacos Veg,Western mains,56,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,14.7,13.2,16.2,Medium,0.75,100,26.2,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0035,Tacos Chicken,Western mains,56,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,14.7,13.2,16.2,Medium,0.75,100,26.2,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0036,Nachos with Cheese,Western mains,56,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,14.7,13.2,16.2,Medium,0.75,100,26.2,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0037,Sushi Veg,Western mains,70,Conservative category-aligned GI from international GI tables (mixed-meal effect applied). GL computed from GI × available carbs per 100 g.,14.4,13.0,15.8,Medium,0.75,100,20.6,Distinct base dish; GI/GL computed from rice_bowl recipe anchor.
