food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
T2_0001,Ragi roti (finger millet roti),Breads & flatbreads,35,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,8.75,7.0,10.5,Low,0.85,100,25.0,Millet roti; GL estimated using cooked roti carb density.
T2_0002,Jowar roti (sorghum roti),Breads & flatbreads,50,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,14.0,11.2,16.8,Medium,0.85,100,28.0,Millet roti; GL estimated using cooked roti carb density.
T2_0003,Bajra roti (pearl millet roti),Breads & flatbreads,54,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,15.66,12.53,18.79,Medium,0.85,100,29.0,Millet roti; GL estimated using cooked roti carb density.
T2_0004,Ragi mudde,Grains & staples,45,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,9.9,7.92,11.88,Low,0.84,100,22.0,"Cooked ragi preparation; density varies, so wider range."
T2_0005,Jowar bhakri,Breads & flatbreads,52,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,15.6,12.48,18.72,Medium,0.84,100,30.0,Thicker roti; estimated from typical bhakri carbs.
T2_0006,Bajra bhakri,Breads & flatbreads,56,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,16.8,13.44,20.16,Medium,0.84,100,30.0,Thicker roti; estimated.
T2_0007,Foxtail millet (cooked),Grains & staples,50,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,11.5,9.78,13.22,Medium,0.86,100,23.0,Cooked millet grain.
T2_0008,Little millet (cooked),Grains & staples,52,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,11.96,10.17,13.75,Medium,0.86,100,23.0,Cooked millet grain.
T2_0009,Kodo millet (cooked),Grains & staples,54,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,12.42,10.56,14.28,Medium,0.86,100,23.0,Cooked millet grain.
T2_0010,Barnyard millet (cooked),Grains & staples,45,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,9.45,8.03,10.87,Low,0.86,100,21.0,Cooked millet grain.
