Suggested_item,Category,Standardization_hint
Grilled bread toast (white bread),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Grilled bread toast (brown bread),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Butter toast,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Masala toast,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Cheese toast,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Garlic bread toast,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Bread poha,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Bread uttapam,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Pav (plain),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Ladi pav,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Kulcha (plain),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Amritsari kulcha,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Aloo kulcha,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Paneer kulcha,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Tandoori roti,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Roomali roti,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Missi roti,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Makki roti,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Laccha paratha,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Methi paratha,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Mooli paratha,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Masala poori,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Luchi,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Kachori (dal),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Kachori (pyaaz),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Kachori (aloo),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Sheermal,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Naan (plain),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Naan (butter),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Naan (garlic),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Naan (cheese),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Idiyappam (string hoppers),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Puttu (rice),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Kerala parotta,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Set dosa,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Rava dosa,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Onion dosa,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Mysore masala dosa,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
