food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
BASE_0001,Pizza Margherita,Western mains,70.5,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,17.4,14.8,20.0,Medium,0.75,100,24.7,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0002,Pizza Veg,Western mains,70.5,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,17.4,14.8,20.0,Medium,0.75,100,24.7,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0003,Pizza Paneer,Western mains,70.5,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,17.4,14.8,20.0,Medium,0.75,100,24.7,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0004,Pizza Chicken,Western mains,70.5,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,17.4,14.8,20.0,Medium,0.75,100,24.7,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0005,Pizza Pepperoni,Western mains,70.5,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,17.4,14.8,20.0,Medium,0.75,100,24.7,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0006,Calzone,Western mains,70.5,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,17.4,14.8,20.0,Medium,0.75,100,24.7,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0007,Pizza Pocket,Western mains,70.5,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,17.4,14.8,20.0,Medium,0.75,100,24.7,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0008,Burger Veg,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,20.3,17.3,23.4,High,0.75,100,28.7,Distinct base dish; GI/GL computed from burger recipe anchor.
BASE_0009,Burger Chicken,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,20.3,17.3,23.4,High,0.75,100,28.7,Distinct base dish; GI/GL computed from burger recipe anchor.
BASE_0010,Burger Paneer,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,20.3,17.3,23.4,High,0.75,100,28.7,Distinct base dish; GI/GL computed from burger recipe anchor.
BASE_0011,Burger Cheese,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,20.3,17.3,23.4,High,0.75,100,28.7,Distinct base dish; GI/GL computed from burger recipe anchor.
BASE_0012,Club Sandwich,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,22.1,18.8,25.4,High,0.75,100,31.2,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0013,Grilled Cheese Sandwich,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,22.1,18.8,25.4,High,0.75,100,31.2,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0014,Chicken Sandwich,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,22.1,18.8,25.4,High,0.75,100,31.2,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0015,Veg Sandwich,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,22.1,18.8,25.4,High,0.75,100,31.2,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0016,Wrap Veg,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,18.5,15.8,21.3,Medium,0.75,100,26.2,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0017,Wrap Chicken,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,18.5,15.8,21.3,Medium,0.75,100,26.2,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0018,Wrap Paneer,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,18.5,15.8,21.3,Medium,0.75,100,26.2,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0019,Quesadilla Cheese,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,18.5,15.8,21.3,Medium,0.75,100,26.2,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0020,Quesadilla Chicken,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,18.5,15.8,21.3,Medium,0.75,100,26.2,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0021,Pasta White Sauce,Western mains,42.1,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,10.2,8.7,11.7,Medium,0.75,100,24.2,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0022,Pasta Red Sauce,Western mains,42.1,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,10.2,8.7,11.7,Medium,0.75,100,24.2,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0023,Pasta Pesto,Western mains,42.1,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,10.2,8.7,11.7,Medium,0.75,100,24.2,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0024,Pasta Alfredo,Western mains,42.1,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,10.2,8.7,11.7,Medium,0.75,100,24.2,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0025,Mac and Cheese,Western mains,42.1,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,10.2,8.7,11.7,Medium,0.75,100,24.2,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0026,Lasagne Veg,Western mains,42.1,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,10.2,8.7,11.7,Medium,0.75,100,24.2,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0027,Lasagne Chicken,Western mains,42.1,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,10.2,8.7,11.7,Medium,0.75,100,24.2,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0028,Instant Noodles Veg,Western mains,41.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,8.1,6.9,9.3,Low,0.75,100,19.5,Distinct base dish; GI/GL computed from noodles recipe anchor.
BASE_0029,Instant Noodles Chicken,Western mains,41.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,8.1,6.9,9.3,Low,0.75,100,19.5,Distinct base dish; GI/GL computed from noodles recipe anchor.
BASE_0030,Ramen Veg,Western mains,41.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,8.1,6.9,9.3,Low,0.75,100,19.5,Distinct base dish; GI/GL computed from noodles recipe anchor.
BASE_0031,Ramen Chicken,Western mains,41.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,8.1,6.9,9.3,Low,0.75,100,19.5,Distinct base dish; GI/GL computed from noodles recipe anchor.
BASE_0032,Burrito Veg,Western mains,72.6,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,15.0,12.7,17.2,Medium,0.75,100,20.6,Distinct base dish; GI/GL computed from rice_bowl recipe anchor.
BASE_0033,Burrito Chicken,Western mains,72.6,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,15.0,12.7,17.2,Medium,0.75,100,20.6,Distinct base dish; GI/GL computed from rice_bowl recipe anchor.
BASE_0034,Tacos Veg,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,18.5,15.8,21.3,Medium,0.75,100,26.2,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0035,Tacos Chicken,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,18.5,15.8,21.3,Medium,0.75,100,26.2,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0036,Nachos with Cheese,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,18.5,15.8,21.3,Medium,0.75,100,26.2,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0037,Sushi Veg,Western mains,72.6,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,15.0,12.7,17.2,Medium,0.75,100,20.6,Distinct base dish; GI/GL computed from rice_bowl recipe anchor.
BASE_0038,Sushi Salmon,Western mains,72.6,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,15.0,12.7,17.2,Medium,0.75,100,20.6,Distinct base dish; GI/GL computed from rice_bowl recipe anchor.
BASE_0039,French Fries,Western sides,64.0,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,22.4,19.0,25.8,High,0.75,100,35.0,Distinct base dish; GI/GL computed from fries recipe anchor.
BASE_0040,Peri Peri Fries,Western sides,64.0,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,22.4,19.0,25.8,High,0.75,100,35.0,Distinct base dish; GI/GL computed from fries recipe anchor.
BASE_0041,Potato Wedges,Western sides,64.0,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,22.4,19.0,25.8,High,0.75,100,35.0,Distinct base dish; GI/GL computed from fries recipe anchor.
BASE_0042,Hash Brown,Western sides,64.0,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,22.4,19.0,25.8,High,0.75,100,35.0,Distinct base dish; GI/GL computed from fries recipe anchor.
BASE_0043,Baked Potato,Western sides,78.0,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,16.4,13.9,18.8,Medium,0.75,100,21.0,Distinct base dish; GI/GL computed from potato recipe anchor.
BASE_0044,Mashed Potato,Western sides,78.0,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,16.4,13.9,18.8,Medium,0.75,100,21.0,Distinct base dish; GI/GL computed from potato recipe anchor.
BASE_0045,Onion Rings,Western sides,64.0,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,22.4,19.0,25.8,High,0.75,100,35.0,Distinct base dish; GI/GL computed from fries recipe anchor.
BASE_0046,Chicken Nuggets,Western sides,64.0,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,22.4,19.0,25.8,High,0.75,100,35.0,Distinct base dish; GI/GL computed from fries recipe anchor.
BASE_0047,Fish Fingers,Western sides,64.0,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,22.4,19.0,25.8,High,0.75,100,35.0,Distinct base dish; GI/GL computed from fries recipe anchor.
