food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
WEST_BASE_0001,Calzone (chicken),"Western foods (India, base dishes)",70.6,Recipe-anchored estimate: carb-weighted GI using ingredient anchors (grain/pasta/rice/potato/sugar/milk) and carb-density archetypes (toppings displace carb per 100 g).,36.5,28.1,44.9,High,0.71,100,51.7,Archetype: pizza_meat. Confidence reflects recipe variability for this dish family.
WEST_BASE_0002,Calzone (veg),"Western foods (India, base dishes)",70.6,Recipe-anchored estimate: carb-weighted GI using ingredient anchors (grain/pasta/rice/potato/sugar/milk) and carb-density archetypes (toppings displace carb per 100 g).,36.3,28.1,44.5,High,0.72,100,51.4,Archetype: pizza_veg. Confidence reflects recipe variability for this dish family.
WEST_BASE_0003,Pizza BBQ Chicken,"Western foods (India, base dishes)",70.6,Recipe-anchored estimate: carb-weighted GI using ingredient anchors (grain/pasta/rice/potato/sugar/milk) and carb-density archetypes (toppings displace carb per 100 g).,36.4,28.0,44.8,High,0.71,100,51.6,Archetype: pizza_meat. Confidence reflects recipe variability for this dish family.
WEST_BASE_0004,Pizza BBQ Chicken (pan pizza),"Western foods (India, base dishes)",70.7,Recipe-anchored estimate: carb-weighted GI using ingredient anchors (grain/pasta/rice/potato/sugar/milk) and carb-density archetypes (toppings displace carb per 100 g).,36.3,27.6,45.0,High,0.69,100,51.3,Archetype: pizza_pan. Confidence reflects recipe variability for this dish family.
WEST_BASE_0005,Pizza BBQ Chicken (thin crust),"Western foods (India, base dishes)",70.7,Recipe-anchored estimate: carb-weighted GI using ingredient anchors (grain/pasta/rice/potato/sugar/milk) and carb-density archetypes (toppings displace carb per 100 g).,36.2,27.7,44.7,High,0.7,100,51.1,Archetype: pizza_thin. Confidence reflects recipe variability for this dish family.
WEST_BASE_0006,Pizza Cheese Burst,"Western foods (India, base dishes)",70.6,Recipe-anchored estimate: carb-weighted GI using ingredient anchors (grain/pasta/rice/potato/sugar/milk) and carb-density archetypes (toppings displace carb per 100 g).,36.4,27.8,45.0,High,0.7,100,51.5,Archetype: pizza_cheese. Confidence reflects recipe variability for this dish family.
WEST_BASE_0007,Pizza Cheese Burst (pan pizza),"Western foods (India, base dishes)",70.7,Recipe-anchored estimate: carb-weighted GI using ingredient anchors (grain/pasta/rice/potato/sugar/milk) and carb-density archetypes (toppings displace carb per 100 g).,36.2,27.5,44.9,High,0.69,100,51.2,Archetype: pizza_pan. Confidence reflects recipe variability for this dish family.
WEST_BASE_0008,Pizza Cheese Lovers,"Western foods (India, base dishes)",70.7,Recipe-anchored estimate: carb-weighted GI using ingredient anchors (grain/pasta/rice/potato/sugar/milk) and carb-density archetypes (toppings displace carb per 100 g).,36.4,28.2,44.6,High,0.72,100,51.5,Archetype: pizza_plain. Confidence reflects recipe variability for this dish family.
WEST_BASE_0009,Pizza Cheese Lovers (pan pizza),"Western foods (India, base dishes)",70.7,Recipe-anchored estimate: carb-weighted GI using ingredient anchors (grain/pasta/rice/potato/sugar/milk) and carb-density archetypes (toppings displace carb per 100 g).,36.6,27.8,45.4,High,0.69,100,51.8,Archetype: pizza_pan. Confidence reflects recipe variability for this dish family.
WEST_BASE_0010,Pizza Chicken Tikka,"Western foods (India, base dishes)",70.6,Recipe-anchored estimate: carb-weighted GI using ingredient anchors (grain/pasta/rice/potato/sugar/milk) and carb-density archetypes (toppings displace carb per 100 g).,37.3,28.7,45.9,High,0.71,100,52.8,Archetype: pizza_meat. Confidence reflects recipe variability for this dish family.
WEST_BASE_0011,Pizza Chicken Tikka (pan pizza),"Western foods (India, base dishes)",70.7,Recipe-anchored estimate: carb-weighted GI using ingredient anchors (grain/pasta/rice/potato/sugar/milk) and carb-density archetypes (toppings displace carb per 100 g).,36.3,27.6,45.0,High,0.69,100,51.4,Archetype: pizza_pan. Confidence reflects recipe variability for this dish family.
WEST_BASE_0012,Pizza Chicken Tikka (thin crust),"Western foods (India, base dishes)",70.8,Recipe-anchored estimate: carb-weighted GI using ingredient anchors (grain/pasta/rice/potato/sugar/milk) and carb-density archetypes (toppings displace carb per 100 g).,36.1,27.6,44.6,High,0.7,100,51.0,Archetype: pizza_thin. Confidence reflects recipe variability for this dish family.
WEST_BASE_0013,Pizza Corn & Cheese,"Western foods (India, base dishes)",70.6,Recipe-anchored estimate: carb-weighted GI using ingredient anchors (grain/pasta/rice/potato/sugar/milk) and carb-density archetypes (toppings displace carb per 100 g).,36.6,28.3,44.9,High,0.72,100,51.8,Archetype: pizza_veg. Confidence reflects recipe variability for this dish family.
WEST_BASE_0014,Pizza Corn & Cheese (pan pizza),"Western foods (India, base dishes)",70.7,Recipe-anchored estimate: carb-weighted GI using ingredient anchors (grain/pasta/rice/potato/sugar/milk) and carb-density archetypes (toppings displace carb per 100 g).,36.1,27.5,44.7,High,0.69,100,51.0,Archetype: pizza_pan. Confidence reflects recipe variability for this dish family.
WEST_BASE_0015,Pizza Corn & Cheese (thin crust),"Western foods (India, base dishes)",70.8,Recipe-anchored estimate: carb-weighted GI using ingredient anchors (grain/pasta/rice/potato/sugar/milk) and carb-density archetypes (toppings displace carb per 100 g).,36.3,27.8,44.8,High,0.7,100,51.3,Archetype: pizza_thin. Confidence reflects recipe variability for this dish family.
