food_id,canonical_name,canonical_name_original,primary_category,serving_type,serving_size_g,serving_size_min_g,serving_size_max_g,serving_size_confidence,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes,available_carbs_per100g,gl_per100g_median,gl_per100g_min,gl_per100g_max,serving_size_per100g_g,portion_serving_key,available_carbs_portion_median,available_carbs_portion_min,available_carbs_portion_max,Serving size G,Serving size min ,Serving Size Max,Serving size confidence
INDWEB_0001,Grilled bread toast (white bread),Grilled bread toast (white bread),Breads & flatbreads,slice,25,20,32,0.9,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,3.9,3.12,5.0,Low,0.41,22.0,"Per-100g values proxy-mapped to validated source item 'Grilled and Wich Cheese' (food_id=WEST_IN_0135); mapping_score=0.29; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",22.0,15.62,15.62,15.62,100.0,toast_slice_wholewheat_25g,5.5,4.4,7.04,25.0,20.0,30.0,0.8
INDWEB_0002,Grilled bread toast (brown bread),Grilled bread toast (brown bread),Breads & flatbreads,slice,25,20,32,0.9,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,3.9,3.12,5.0,Low,0.41,22.0,"Per-100g values proxy-mapped to validated source item 'Grilled and Wich Cheese' (food_id=WEST_IN_0135); mapping_score=0.29; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",22.0,15.62,15.62,15.62,100.0,toast_slice_wholewheat_25g,5.5,4.4,7.04,25.0,20.0,30.0,0.8
INDWEB_0003,Butter toast,Butter toast,Breads & flatbreads,piece,25,20,32,0.9,64.7,Henry et al. GI tables (non-Indian cohort),5.4,4.32,6.91,Low,0.45,33.38,"Per-100g values proxy-mapped to validated source item 'Butter Cake' (food_id=NONIND_0692); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=80g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",33.38,21.6,21.6,21.6,100.0,toast_slice_wholewheat_25g,8.35,6.68,10.68,55.0,41.0,69.0,0.75
INDWEB_0004,Masala toast,Masala toast,Breads & flatbreads,portion,25,20,32,0.9,82.0,Henry et al. GI tables (non-Indian cohort),9.24,7.39,11.83,Low,0.88,45.07,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Bun' (food_id=NONIND_0093).",45.07,36.96,36.96,36.96,100.0,toast_slice_wholewheat_25g,11.27,9.01,14.42,150.0,105.0,195.0,0.6
INDWEB_0005,Cheese toast,Cheese toast,Breads & flatbreads,portion,25,20,32,0.9,95.0,Henry et al. GI tables (non-Indian cohort),15.23,12.18,19.49,Medium,0.45,64.13,"Per-100g values proxy-mapped to validated source item 'Cheese Bun' (food_id=NONIND_0008); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",64.13,60.92,60.92,60.92,100.0,toast_slice_wholewheat_25g,16.03,12.83,20.52,150.0,105.0,195.0,0.6
INDWEB_0006,Garlic bread toast,Garlic bread toast,Breads & flatbreads,slice,25,20,32,0.9,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,7.32,5.86,9.37,Low,0.65,41.25,"Per-100g values proxy-mapped to validated source item 'Garlic Bread' (food_id=WEST_IN_0133); mapping_score=0.75; mapping_tier=high. Converted from source serving_size_g=80g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",41.25,29.29,29.29,29.29,100.0,toast_slice_wholewheat_25g,10.31,8.25,13.2,25.0,20.0,30.0,0.75
INDWEB_0007,Bread poha,Bread poha,Breads & flatbreads,slice,100,100,100,0.75,65.0,Henry et al. GI tables (non-Indian cohort),14.44,14.44,14.44,Medium,0.45,22.22,"Per-100g values proxy-mapped to validated source item 'Bread Fruit' (food_id=NONIND_0593); mapping_score=0.41; mapping_tier=low. Converted from source serving_size_g=180g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",22.22,14.44,14.44,14.44,100.0,portion_100g,22.22,22.22,22.22,26.0,21.0,31.0,0.8
INDWEB_0008,Bread uttapam,Bread uttapam,Breads & flatbreads,slice,100,100,100,0.75,65.0,Henry et al. GI tables (non-Indian cohort),14.44,14.44,14.44,Medium,0.45,22.22,"Per-100g values proxy-mapped to validated source item 'Bread Fruit' (food_id=NONIND_0593); mapping_score=0.41; mapping_tier=low. Converted from source serving_size_g=180g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",22.22,14.44,14.44,14.44,100.0,portion_100g,22.22,22.22,22.22,26.0,21.0,31.0,0.8
INDWEB_0009,Pav (plain),Pav (plain),Breads & flatbreads,piece,100,100,100,0.75,60.0,Henry et al. GI tables (non-Indian cohort),8.95,8.95,8.95,Low,0.45,14.92,"Per-100g values proxy-mapped to validated source item 'Plain Wheat Noodles' (food_id=NONIND_0074); mapping_score=0.25; mapping_tier=low. Converted from source serving_size_g=250g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",14.92,8.95,8.95,8.95,100.0,portion_100g,14.92,14.92,14.92,72.0,54.0,91.0,0.7
INDWEB_0010,Ladi pav,Ladi pav,Breads & flatbreads,portion,100,100,100,0.75,65.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,52.0,52.0,52.0,High,0.78,80.0,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Pav Bhaji' (food_id=T2_0121).",80.0,52.0,52.0,52.0,100.0,portion_100g,80.0,80.0,80.0,150.0,105.0,195.0,0.6
INDWEB_0011,Kulcha (plain),Kulcha (plain),Breads & flatbreads,piece,67,44,90,0.9,60.0,Henry et al. GI tables (non-Indian cohort),6.0,3.94,8.05,Low,0.45,14.92,"Per-100g values proxy-mapped to validated source item 'Plain Wheat Noodles' (food_id=NONIND_0074); mapping_score=0.25; mapping_tier=low. Converted from source serving_size_g=250g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",14.92,8.95,8.95,8.95,100.0,naan_piece_44_90g,10.0,6.56,13.43,72.0,54.0,91.0,0.7
INDWEB_0012,Amritsari kulcha,Amritsari kulcha,Breads & flatbreads,piece,67,44,90,0.9,74.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,22.31,14.65,29.97,High,0.84,45.0,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Kulcha' (food_id=T2_0050).",45.0,33.3,33.3,33.3,100.0,naan_piece_44_90g,30.15,19.8,40.5,63.0,47.0,80.0,0.7
